retriever,condition,family,n_questions,n_errors,avg_recall_at_5,avg_mrr,avg_retrieval_diversity,avg_faithfulness_nli,recall_delta_vs_baseline,mrr_delta_vs_baseline,diversity_delta_vs_baseline,diversity_gained_per_recall_lost,efficiency_ranking_eligible,rank_by_recall_within_retriever,rank_by_efficiency_within_retriever,is_best_recall_for_retriever,is_most_efficient_diversification_for_retriever,has_generation,generator_model,generator_temperature,generator_max_tokens,top_k,candidate_pool_size,corpus_size,seed,exact_match,f1,rouge_l
colbertv2,dpp_seed2,DPP,500,0,0.476,0.4697,0.6763,,-0.385,-0.5164,0.041,0.1065,True,13,8.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,dpp_seed3,DPP,500,0,0.377,0.262,0.6764,,-0.484,-0.7241,0.0411,0.0849,True,14,9.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
colbertv2,dpp_seed1,DPP,500,0,0.203,0.1661,0.6614,,-0.658,-0.82,0.0261,0.0397,False,15,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,mmr_0.75,MMR,500,0,0.726,0.8883,0.6079,0.5029,0.001,0.0007,0.0109,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,mmr_1.0,MMR,500,0,0.725,0.8876,0.597,0.4942,0.0,0.0,0.0,,False,2,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,none,MMR,500,0,0.725,0.8876,0.597,0.4741,0.0,0.0,0.0,,False,2,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,mmr_0.5,MMR,500,0,0.724,0.89,0.6289,0.4727,-0.001,0.0024,0.0319,31.9,True,4,1.0,False,True,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,dpp_map,DPP,500,0,0.711,0.8911,0.6414,0.4781,-0.014,0.0035,0.0444,3.1714,True,5,2.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,kmeans_k2,Clustering,500,0,0.704,0.7008,0.6176,,-0.021,-0.1868,0.0206,0.981,False,6,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,agglo_k3,Clustering,500,0,0.658,0.654,0.6262,,-0.067,-0.2336,0.0292,0.4358,False,7,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,mmr_0.25,MMR,500,0,0.634,0.8895,0.6652,0.4396,-0.091,0.0019,0.0682,0.7495,True,8,3.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,kmeans_k3,Clustering,500,0,0.58,0.48,0.6273,0.3965,-0.145,-0.4076,0.0303,0.209,True,9,7.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,kmeans_k5,Clustering,500,0,0.571,0.3566,0.6417,,-0.154,-0.531,0.0447,0.2903,True,10,6.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,agglo_k5,Clustering,500,0,0.564,0.5187,0.6471,,-0.161,-0.3689,0.0501,0.3112,True,11,5.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,mmr_0.0,MMR,500,0,0.485,0.8658,0.6902,0.3387,-0.24,-0.0218,0.0932,0.3883,True,12,4.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,dpp_seed2,DPP,500,0,0.466,0.3545,0.6376,,-0.259,-0.5331,0.0406,0.1568,True,13,8.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,dpp_seed3,DPP,500,0,0.284,0.1944,0.638,,-0.441,-0.6932,0.041,0.093,True,14,9.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
contriever,dpp_seed1,DPP,500,0,0.175,0.1437,0.6212,,-0.55,-0.7439,0.0242,0.044,False,15,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,mmr_1.0,MMR,500,0,0.648,0.7846,0.6406,0.4338,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,none,MMR,500,0,0.648,0.7846,0.6406,0.4449,0.0,0.0,0.0,,False,1,,True,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,mmr_0.75,MMR,500,0,0.639,0.7835,0.6494,0.4291,-0.009,-0.0011,0.0088,0.9778,False,3,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,kmeans_k2,Clustering,500,0,0.625,0.611,0.6533,,-0.023,-0.1736,0.0127,0.5522,False,4,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,mmr_0.5,MMR,500,0,0.618,0.7826,0.6628,0.404,-0.03,-0.002,0.0222,0.74,False,5,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,dpp_map,DPP,500,0,0.6,0.7819,0.6745,0.4061,-0.048,-0.0027,0.0339,0.7062,True,6,1.0,False,True,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,agglo_k3,Clustering,500,0,0.582,0.5587,0.6699,,-0.066,-0.2259,0.0293,0.4439,False,7,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,mmr_0.25,MMR,500,0,0.525,0.7728,0.7019,0.3811,-0.123,-0.0118,0.0613,0.4984,True,8,2.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,kmeans_k3,Clustering,500,0,0.52,0.4006,0.6668,0.3726,-0.128,-0.384,0.0262,0.2047,False,9,,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,agglo_k5,Clustering,500,0,0.489,0.407,0.6925,,-0.159,-0.3776,0.0519,0.3264,True,10,4.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,kmeans_k5,Clustering,500,0,0.488,0.3162,0.6822,,-0.16,-0.4684,0.0416,0.26,True,11,5.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,dpp_seed2,DPP,500,0,0.399,0.3361,0.6745,,-0.249,-0.4485,0.0339,0.1361,True,12,6.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,mmr_0.0,MMR,500,0,0.397,0.7497,0.7358,0.3238,-0.251,-0.0349,0.0952,0.3793,True,13,3.0,False,False,True,qwen3.5-122b,0.0,512.0,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,dpp_seed3,DPP,500,0,0.278,0.2013,0.6732,,-0.37,-0.5833,0.0326,0.0881,True,14,7.0,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
dpr,dpp_seed1,DPP,500,0,0.144,0.1155,0.6587,,-0.504,-0.6691,0.0181,0.0359,False,15,,False,False,False,,,,5,20,25997,42,N/A (BEIR has no ref answers),N/A (BEIR has no ref answers),N/A (BEIR has no ref answers)
